Name,Image,Species,Personality,Gender,Default Catchphrase,Default Clothing,Default Umbrella,Fav Style,Least Fav Style,Starting Hobby,Birthday,House Exterior Model,House Exterior Palette Group,Furniture,Wallpaper,Carpet,Song,Furniture Tastes,Move-In Type,Name (Japanese),Name (Spanish),Name (French),Name (German),Name (Italian),Name (Korean),Catchphrase (Japanese),Catchphrase (Spanish),Catchphrase (French),Catchphrase (German),Catchphrase (Italian),Catchphrase (Korean),Hex ID,Filename
Cyrano,,Anteater,Cranky,Male,ah-CHOO,dawn shirt,paper parasol,conservative,fancy,walk around,March 9,0-0,A,"hearth, screen, screen, samurai suit, exotic chest, tea table, mega oboid, bow, sword",bamboo wall,tatami floor,K.K. Faire,"modern furniture, blue furniture, yellow furniture, paintings, Asian furniture, Cabana Series furniture",Move-in only,さくらじま,Cirano,Cyrano,Theo,Cirano,사지마,でごわす,achús,ATCHOUM,schneuf,ett-CCIÙ,임돠,00,ant00
Antonio,,Anteater,Jock,Male,honk,big star shirt,bat umbrella,conservative,zany,collect shells,October 20,0-1,B,"picnic table, claw-foot tub, clothesline pole, beach chair, life ring, refrigerator, lawn chair, red boom box, tea set",tropical vista,tropical floor,K.K. Faire,"old-school furniture, red furniture, yellow furniture, houseplants, Cabana Series furniture, Regal Series furniture",Move-in only,マコト,Antonio,Antonio,Siggi,Antonio,퍼머거,ホントに,fufuf,pouet,schlürrrf,honk,진짜로,01,ant01
Pango,,Anteater,Peppy,Female,snooooof,subdued print,picnic umbrella,gauche,cool,shop for clothes,November 9,0-2,D,"ranch table, classic bookcase, ranch couch, exotic screen, mega bowtoid, phonograph, biwa lute, classic clock, lady palm",lattice wall,exotic rug,K.K. Casbah,"modern furniture, red furniture, blue furniture, instruments, Classic Series furniture, Asian furniture",Move-in only,パトラ,Aspidora,Mathilda,Mathilda,Carlotta,패트라,だっしー,snuf-snuf,pouuuuuf,schnieef,snuuf,라지요,02,ant02
Anabelle,,Anteater,Peppy,Female,snorty,tropical shirt,mint umbrella,cute,funky,collect furniture,February 16,4-1,B,"cabana bed, green dresser, cabana screen, exotic bench, cabana vanity, phonograph, corn plant, shower, caladium",floral wall,diner tile,Aloha K.K.,"chic furniture, white furniture, brown furniture, paintings, Lovely Series furniture, Green Series furniture",Move-in only,あるみ,Anabel,Anabelle,Annabell,Annalisa,아롱이,マジでー,esnoink,grognon,puuust,snorty,정말,03,ant03
Teddy,,Bear,Jock,Male,grooof,club shirt,paper parasol,charming,funky,collect shells,September 26,0-2,C,"ebony piano, fireplace, retro stereo, writing desk, retro TV, Mama bear, stool, blue golf bag, writing chair",chic wall,plush carpet,Mr. K.K.,"lovely furniture, brown furniture, green furniture, instruments, Cabin Series furniture, Ranch Series furniture",Starter,たいへいた,Teddy,Teddy,Torsten,Teddy,병태,ですたい,gruuuf,grrrrrr,gruff,gruf,입네다,04,bea00
Pinky,,Bear,Peppy,Female,wah,dazed shirt,candy umbrella,cute,gauche,walk around,September 9,0-3,D,"classic bed, exotic screen, exotic chest, exotic bench, glass-top table, strumboid, red pompom hat, dingloid, goldfish, lamentoid",exquisite wall,bamboo flooring,Imperial K.K.,"chic furniture, blue furniture, white furniture, paintings, Classic Series furniture, Classic Series furniture",Starter,タンタン,Violeta,Rosine,Pia,Pinky,링링,わぉ,terroncito,ouah,schätzchen,cubetto,와,05,bea01
Curt,,Bear,Cranky,Male,fuzzball,MVP shirt,paper parasol,conservative,funky,dig up fossils,July 1,1-0,A,"ranch table, red sofa, wide-screen TV, mini bowtoid, Roman helmet, tiger shirt, weeping fig, zebra shirt",manor wall,tartan rug,K.K. Jazz,"black furniture, modern furniture, instruments, houseplants, Ranch Series furniture, Asian furniture",Starter,ガンテツ,Gorbaché,Curt,Kurt,Curt,뚝심,ウム,oye,bouboule,grumml,fuzzball,음,06,bea02
Chow,,Bear,Cranky,Male,aiya,star shirt,ribbon umbrella,zany,cute,fish,July 22,1-1,B,"exotic bed, exotic screen, sea bass, sea bass, croton, squat dingloid, exotic lamp, exotic end table, exotic chair",imperial wall,imperial tile,K.K. Steppe,"pink furniture, old-school furniture, black furniture, instruments, Regal Series furniture, Robo Series furniture",Starter,チャウヤン,Pando,Chulin,Chang,Chowchow,츄양,アルヨ,ándale-oso,lala,hiijaa,ehilà,그럼,07,bea03
Jay,,Bird,Jock,Male,heeeeeyy,six-ball shirt,yellow umbrella,gauche,charming,dig up fossils,July 17,1-2,C,"classic bed, cream sofa, vibraphone, bass, rocking chair, phonograph, violin, cello",ornate wall,classic carpet,K.K. Waltz,"instruments, Classic Series furniture, chic furniture, paintings, chic furniture, Regal Series furniture",Starter,ツバクロ,Jota,Gérard,Jan,Jet,참돌이,でおます,heeey,maaaaaais,hiiiijjj,cipinci,그쵸,08,brd00
Robin,,Bird,Snooty,Female,la-di-da,kiwi shirt,blue umbrella,charming,severe,shop for clothes,December 4,1-3,D,"pine table, regal sofa, salmon, classic buffet, birdcage, snake plant, exotic lamp, birdcage, turntable",lattice wall,kitchen tile,K.K. Bossa,"blue furniture, chic furniture, brown furniture, instruments, Cabana Series furniture, Asian furniture",Starter,パーチク,Aria,Robie,Jule,Rossana,파틱,さ,picatoste,ta-di-da,ladida,yuppidù,글쎄,09,brd01
