Name,Image,Icon,Species,Personality,Gender,Default Catchphrase,Default Top,Default Umbrella,Birthday,Fav Fashion,Least Fav Fashion,Fav Color,Coffee,Fav Saying,Move-In Type,Wallpaper,Floor,House Song,House Model,Furniture,RV Song,RV Items,RV Description,Skill,Skill ID,Goal,Goal ID,Siblings,Siblings ID,Notes,Name (English EU),Name (Japanese),Name (Spanish NA),Name (Spanish EU),Name (French NA),Name (French EU),Name (German),Name (Italian),Name (Korean),Catchphrase (English EU),Catchphrase (Japanese),Catchphrase (Spanish NA),Catchphrase (Spanish EU),Catchphrase (French NA),Catchphrase (French EU),Catchphrase (German),Catchphrase (Italian),Catchphrase (Korean),Version Added,Hex ID (1.0),Hex ID (1.4),Internal ID,New To Series
Cyrano,,,Anteater,Cranky,Male,ah-CHOO,dawn tee,paper parasol,March 9,iconic,modern,yellow,,Don't cut off your nose to spite your face.,Starter,bamboo wall,tatami,K.K. Faire,3,hearth;screen;samurai suit;screen;exotic chest (Brown);bow;tea table;sword;mega oboid;,-,-,-,whistling,m05,journalist,m0A,eldest of 5 kids,m14,Has unused RV item data equivalent to Snooty's,-,さくらじま,Cirano,Cirano,Cyrano,Cyrano,Theo,Cirano,사지마,-,でごわす,achús,achús,ATCHOUM,ATCHOUM,schneuf,ett-CCIÙ,임돠,1.0,0000,0000,ant00,No
Antonio,,,Anteater,Jock,Male,honk,big-star tee,bat umbrella,October 20,basic,ornate,aqua,,Always go for the burn!,Starter,alpine wall,common floor,K.K. Faire,3,blue table (Blue - Yellow);sink;blue bed (Blue - Yellow);flat-screen TV;cream sofa;blue dresser (Blue);refrigerator;CD shelf;stove;CD player;blue wall shelf (Blue);,-,-,-,playing horseshoes,m16,baseball player,m10,youngest of 4 kids,m0F,,-,マコト,Antonio,Antonio,Antonio,Antonio,Siggi,Antonio,퍼머거,-,ホントに,fufuf,fufuf,pouet,pouet,schlürrrf,honk,진짜로,1.0,0001,0001,ant01,No
Pango,,,Anteater,Peppy,Female,snooooof,subdued-print tee,picnic umbrella,November 9,modern,sporty,orange,,A thing of beauty is a joy forever!,Starter,lattice wall,exotic rug,K.K. Casbah,1,ranch table (Natural);exotic screen (Brown);classic bookcase (Brown);ranch couch (Natural);mega bowtoid;classic clock (Brown);lady palm;biwa lute;phonograph;,-,-,-,tongue twisters,f08,aesthetician,f19,eldest of 3 kids,f0B,,-,パトラ,Aspidora,Aspidora,Mathilda,Mathilda,Mathilda,Carlotta,패트라,-,だっしー,snuf-snuf,snuf-snuf,pouuuuuf,pouuuuuf,schnieef,snuuf,라지요,1.0,0002,0002,ant02,No
Anabelle,,,Anteater,Peppy,Female,snorty,tropical tee,mint umbrella,February 16,cute,historical,green,,Dance like no one's watching!,Starter,floral wall,diner tile,Aloha K.K.,5,green table (Middle green - Orange);minimalist sofa (Ivory);green bed (Middle green - Orange);kitchen sink;cabana dresser (Plain);cabana lamp (Plain);corn plant;cabana vanity (Plain);alpine kitchen cart (Natural - Nature);retro fridge;Aloha K.K.;cabana wall radio (Plain);,-,-,-,jumping rope,f07,judge,f1E,second of 4 kids,f12,,-,あるみ,Anabel,Anabel,Anabelle,Anabelle,Annabell,Annalisa,아롱이,-,マジでー,esnoink,esnoink,grognon,grognon,puuust,snorty,정말,1.0,0003,0003,ant03,No
Snooty,,,Anteater,Snooty,Female,sniffff,misty tee,paper parasol,October 24,historical,modern,brown,,"Request forgiveness, not permission.",Move-in,tearoom wall,tatami floor,King K.K.,3,wood-plank table;zen desk;zen cupboard;tatami bed;paper lantern;floor seat (Light brown - Red);moss ball;ikebana display;zen tea set (Bean rice cake);lovely doll;female mask;,King K.K.,tearoom wall;tatami floor;wood-plank table;zen cupboard;zen cushion (Crimson);zen desk;moss ball;lovely doll;decorative plate (Bird);ikebana display;zen tea set (Strawberry rice cake),"Snooty holds flower-arranging classes in her Japanese-style camper. She's muddled up the cultural references a bit, but are you going to tell her that?",calligraphy,f3D,archaeologist,f23,only child,f01,,-,こまち,Rosanari,Rosanari,Tarina,Tarina,Hilde,Lucrezia,스누티,-,たもれ,sniff,sniff,snif snif,snif snif,schnuff,sniffff,추릅,1.4,-,0004,ant06,No
Annalisa,,,Anteater,Normal,Female,gumdrop,dazed tee,paper parasol,February 6,iconic,sporty,red,,Home is where the heart is.,Starter,tearoom wall,planked tatami,King K.K.,0,tokonoma;tatami bed;tea tansu;screen;lovely doll;plum bonsai;blue vase;paper lantern;female mask;,-,-,-,waking up early,f15,astronaut,f26,second of 3 sisters,f0F,,-,みやび,Alba,Alba,Roberta,Roberta,Annalena,Anita,설백,-,をかし,nubecillas,nubecillas,tap tap,tap tap,schnüffel,chic,하양하양,1.0,0004,0005,ant08,Yes
Olaf,,,Anteater,Smug,Male,whiffa,matador's jacket,flame umbrella,May 19,official,modern,red,,Keep your nose clean.,Starter,sleek wall,chessboard rug,K.K. Milonga,2,whirlpool bath (No flowers);billiard table;rope partition;fireplace;sleek sofa (Black);coat hanger;cactus;phonograph;sconce;,-,-,-,dancing,m03,dancer,m06,older twin brother,m02,,-,アントニオ,Olaf,Olaf,Blair,Blair,Olaf,Ettore,안토니오,-,ムーチョ,fruf,fruf,tartarin,tartarin,mwahaaa,swish,무쵸,1.0,0005,0006,ant09,Yes
Teddy,,,Bear,Jock,Male,grooof,club tee,paper parasol,September 26,basic,ornate,black,,"No pain, no gain!",Starter,chic wall,plush carpet,Mr. K.K.,0,ebony piano (Black);fireplace;large bookshelf;retro stereo;writing desk;retro TV;writing chair (Blank);golf bag (Blue);dracaena;pink velvet stool;Mama bear (Blank);globe;yellow certificate;,-,-,-,playing old maid,m2D,police officer,m19,eldest of 2 kids,m07,,-,たいへいた,Teddy,Teddy,Teddy,Teddy,Torsten,Teddy,병태,-,ですたい,gruuuf,gruuuf,grrrrrr,grrrrrr,gruff,gruf,입네다,1.0,0006,0007,bea00,No
Pinky,,,Bear,Peppy,Female,wah,dazed tee,candy umbrella,September 9,cute,rock 'n' roll,red,,Time spent with friends is time well spent!,Starter,exquisite wall,imperial tile,Imperial K.K.,3,classic bed (Brown - White);glass-top table;exotic screen (Brown);exotic bench (Brown);exotic chest (Brown);strumboid;dingloid;lady palm;exotic end table (Brown);reel-to-reel;goldfish;azalea bonsai;exotic wall shelf (Brown);,-,-,-,hula dancing,f38,cartoonist,f03,eldest of 3 sisters,f0E,,-,タンタン,Violeta,Violeta,Rosine,Rosine,Pia,Pinky,링링,-,わぉ,terronillo,terronillo,ouah,ouah,schätzchen,cubetto,와,1.0,0007,0008,bea01,No
Curt,,,Bear,Cranky,Male,fuzzball,MVP tee,paper parasol,July 1,iconic,cute,brown,,A Bell saved is a Bell earned!,Starter,shoji screen,tatami,K.K. Lament,3,kotatsu (Blue blanket);wide-screen TV;cream sofa;high-end stereo;tea tansu;mega clankoid;lady palm;giant dharma (Red);kanji tee;wall fan;,-,-,-,whistling,m05,carpenter,m21,eldest of 6 kids,m1E,,-,ガンテツ,Gorbaché,Gorbaché,Curt,Curt,Kurt,Curt,뚝심,-,ウム,oye,oye,bouboule,bouboule,grumml,grrroan,음,1.0,0008,0009,bea02,No
Chow,,,Bear,Cranky,Male,aiya,star tee,ribbon umbrella,July 22,flashy,basic,brown,,All good things must come to an end.,Starter,imperial wall,slate flooring,K.K. Steppe,3,exotic bed (Brown - Gray);exotic screen (Brown);stringfish;sea bass;exotic chest (Brown);tootoid;exotic end table (Brown);croton;exotic lamp (White and orange);Mama panda;,-,-,-,trivia,m0F,chef,m20,fourth quintuplet,m1C,,-,チャウヤン,Pando,Pando,Chulin,Chulin,Chang,Chowchow,츄양,-,アルヨ,ándale-oso,ándale-oso,lala,lala,hiijaa,ehilà,그럼,1.0,0009,000A,bea03,No
Nate,,,Bear,Lazy,Male,yawwwn,spring shirt,forest umbrella,August 16,basic,modern,white,,Be true to yourself.,Starter,ivy wall,backyard lawn,K.K. Lullaby,4,backyard pool;hammock (Purple - Purple);mountain standee;mountain standee;ice-cream case;minimalist minitable (Ivory);bug zapper;fan;trash can;refrigerator;cassette player (Red);potted ivy;,-,-,-,playing horseshoes,m16,sumo wrestler,m17,third of 4 kids,m0E,,-,バッカス,Nachete,Nachete,Nathan,Nathan,Nathan,Gianni,박하스,-,んだ,uuaaaah,uuaaaah,baaîîîllle,baaîîîllle,gäähn,yauuun,힘내,1.0,000A,000B,bea05,No
Groucho,,,Bear,Cranky,Male,grumble,lite polka tee,paper parasol,October 23,historical,ornate,black,,Rocky road is more than just a flavor of ice cream.,Starter,shanty wall,plank flooring,K.K. Metal,2,modern bed (Monochromatic - Modern plaid);modern table (Monochromatic);modern desk (Monochromatic);gold stereo;modern sofa (Monochromatic);office chair;croton;standing spotlight;golf bag (Blue);ponderosa bonsai;modern wall clock (Monochromatic);,-,-,-,competitive eating,m1F,pro wrestler,m15,second of 5 kids,m15,,-,クロー,Groucho,Groucho,Ronchon,Ronchon,Ernst,Groucho,거무틱,-,ワォー,jorrr,jorrr,grou-gnon,grou-gnon,brummel,grum grum,어쩌라구,1.0,000B,000C,bea06,No
Tutu,,,Bear,Peppy,Female,twinkles,heart tee,daisy umbrella,September 15,cute,sporty,pink,,Even best friends start out as strangers!,Starter,ranch wall,neutral floor,K.K. Steppe,5,lovely bed (Lovely pink - Lovely pink);minimalist sofa (Ivory);lovely table (Lovely pink - Lovely pink);lovely dresser (Lovely pink);refrigerator;stove;extinguisher;minimalist vanity (Ivory);dracaena;record player;Mama polar bear (Aqua striped);white pansies;minimalist clock (Ivory);air conditioner;,-,-,-,typing,f0B,teacher,f1F,eldest of 3 kids,f0B,,-,れんにゅう,Tutú,Tutú,Tutu,Tutu,Mandy,Lola,연유,-,ファイト,fisflash,fisflash,pic pic,pic pic,hooonig,gnifa,사르르,1.0,000C,000D,bea07,No
Ursala,,,Bear,Big sister,Female,grooomph,pastel-stripe tee,candy umbrella,January 16,iconic,rock 'n' roll,red,,Surround yourself with things you love.,Move-in,wood paneling,ranch flooring,K.K. Country,4,cabana bed (Plain - White);wood-plank table;plant partition (White);flower display case (Silver);flower bed;moth orchid;cypress plant (Light green);weeping fig;Casablanca lilies;hibiscus;flower wreath (White beige);,K.K. Country,wood paneling;ranch flooring;wood-plank table;flower display case (Silver);basic display stand (Green);plant partition (White);basic display stand (Green);hibiscus;Casablanca lilies;cash tray (Wood grain);red cash register (Red),"Ursala talks a big flower game, but she backs it up by more or less running a full-service  florist's shop out of her camper. She really does love flowers!",staying positive,f39,florist,f1A,eldest of 2 kids,f07,,-,ネーヤ,Úrsula,Úrsula,Oursula,Oursula,Ursula,Ursula,네이아,-,やーねぇ,grumf,grumf,groumpf,groumpf,brumbrum,gruuunf,그라지,1.4,-,000E,bea08,No
Grizzly,,,Bear,Cranky,Male,grrr...,three-ball tee,busted umbrella,July 31,basic,ornate,brown,,Those who live in glass houses shouldn't throw stones.,Starter,lunar horizon,western desert,K.K. Dirge,4,cabin table (Normal tree - Normal);watering trough;sleeping bag;king salmon;cow skull;well;desert cactus;cabin chair (Normal tree);saddle fence;round mini cactus;,-,-,-,brainteasers,m0E,photographer,m09,eldest of 4 kids,m0C,,-,ムー,Gruñón,Gruñón,Grizzly,Grizzly,Gerald,Grizzly,무뚝,-,だクマ,tostón,tostón,canaillou,canaillou,grrr,grrr,냅둬,1.0,000D,000F,bea09,No
Paula,,,Bear,Big sister,Female,yodelay,pep-squad tee,eggy parasol,March 22,flashy,basic,orange,,Trends always make a comeback.,Starter,groovy wall,kitschy tile,K.K. Dixie,1,patchwork table (Pop color);cabana dresser (Plain);cabana screen (Plain);patchwork sofa (Pop color);gold stereo;CD shelf;pachira;djimbe drum;fan palm;candy machine;lotus lamp (Pink);round mini cactus;pendulum clock;air conditioner;,-,-,-,baton twirling,f1B,volleyball player,f11,eldest of 4 kids,f11,,-,レイチェル,Lizi,Lizi,Wendy,Wendy,Paula,Bruna,레이첼,-,ヤッホー,borobó,borobó,léchouille,léchouille,bralala,bah,야호야호,1.0,000E,0010,bea10,No
Ike,,,Bear,Cranky,Male,roadie,jungle-camo tee,bat umbrella,May 16,rock 'n' roll,basic,blue,,"The higher you climb, the smaller things look.",Move-in,steel-frame wall,pavement floor,K.K. Rock,4,sleek bed (Black);retro stereo;tool shelf;tire stack;tool cart;tire stack;metal can;plastic canister (Red);toolbox (Red);ventilation fan;,K.K. Rock,steel-frame wall;pavement floor;plastic canister (Red);tool cart;tool shelf;tire stack;metal can;sports car (Blue);toolbox (Yellow),Can you tell that Ike loves tinkering with cars? Car camping alone isn't enough for him—he had to bring a second car along for the ride too!,doing chin-ups,m3F,carpenter,m21,eldest of 3 kids,m09,,-,ダイク,Astillas,Astillas,Isaac,Isaac,Ike,Ortensio,대공,-,ボウズ,tornillos,tornillos,pot d'miel,pot d'miel,brrruah,sgrugno,터프,1.4,-,0011,bea11,No
Charlise,,,Bear,Big sister,Female,urgh,red warm-up suit,daisy umbrella,April 17,sporty,ornate,orange,,Actions speak louder than words.,Starter,garden wall,sporty floor,Mr. K.K.,2,ball catcher (Plain brown ball);basketball hoop;ringside table (Beige);volleyball net;orange cone;scoreboard;hurdle;traffic cone;cassette player (Red);kettle;,-,-,-,hitting snooze,f2E,archaeologist,f23,youngest of 6 kids,f23,,-,チャーミー,Charo,Charo,Zabou,Zabou,Tabea,Orsola,챠미,-,よいしょ,comolooyes,comolooyes,verlue,verlue,bärbär,sbuff,으랏차차,1.0,000F,0012,bea12,No
Beardo,,,Bear,Smug,Male,whiskers,detective outfit,bat umbrella,September 27,official,cute,brown,,Ladies first!,Starter,arched window,old board floor,K.K. Sonata,4,rococo sofa (Gothic brown);editor's desk;retro stereo;rococo table (Gothic brown);editor's chair;rococo shelf (Gothic brown);rococo wardrobe (Gothic brown);trunk (Brown);coat hanger;typewriter;homework set;,-,-,-,memorizing stuff,m06,professor,m1D,middle kid,m0A,,-,ベアード,Bernabé,Bernabé,Eustache,Eustache,Berthold,Barnaba,베어드,-,オッホン,bigotre,bigotre,poilodos,poilodos,brrroho,andale,오홍홍,1.0,0010,0013,bea13,Yes
Klaus,,,Bear,Smug,Male,strudel,gold-armor suit,spider umbrella,March 31,historical,cute,gray,,Pride goes before a fall.,Starter,palace wall,basement floor,K.K. Milonga,5,whirlpool bath (No flowers);rope partition;retro stereo;classic sofa (Brown);classic sofa (Brown);tiki torch;tiki torch;harp;pantheon post;pantheon post;,-,-,-,debating,m23,politician,m1B,eldest of 7 kids,m24,,-,クマロス,Gruñerto,Gruñerto,Klaus,Klaus,Grischa,Maciste,곰도로스,-,オパー,ricitos,ricitos,achtung,achtung,gruaaa,bailar,라저,1.0,0011,0014,bea14,Yes
Jay,,,Bird,Jock,Male,heeeeeyy,six-ball tee,yellow umbrella,July 17,sporty,historical,blue,,He who hesitates has lost!,Starter,regal wall,classic carpet,K.K. Waltz,5,classic bed (Brown - White);high-end stereo;classic bookcase (Brown);classic sofa (Brown);vibraphone;snake plant;bass;music stand;violin;cello;classic wall shelf (Brown);,-,-,-,tongue twisters,m08,race-car driver,m16,third of 6 kids,m20,,-,ツバクロ,Jairo,Jota,Gérard,Gérard,Jan,Jet,참돌이,-,でおます,heeey,heeey,maaaaaais,maaaaaais,hiiiijjj,cipinci,그쵸,1.0,0012,0015,brd00,No
