Name,Image,Species,Personality,Gender,Birthday,Default Catchphrase,Default Clothing,Default Umbrella,Liked Look,Disliked Look,Favorite Color,Favorite Series,Furniture Taste #1,Furniture Taste #2,Furniture,House Song,Wallpaper,Carpet,Starting Villager,Name (Japanese),Name (Spanish),Name (French),Name (German),Name (Italian),Name (Korean),Catchphrase (Japanese),Catchphrase (Spanish NA),Catchphrase (Spanish EU),Catchphrase (French NA),Catchphrase (French EU),Catchphrase (German),Catchphrase (Italian),Catchphrase (Korean),New to Series,Notes,Villager ID,Hex ID
Cyrano,,Anteater,Cranky,Male,March 9,ah-CHOO,dawn shirt,paper parasol,subtle,stylish,yellow,Exotic,dignified,trendy,hearth; screen; screen; samurai suit; exotic chest; tea table; mega oboid; bow; sword;,K.K. Faire,bamboo wall,tatami,No,さくらじま,Cirano,Cyrano,Theo,Cirano,사지마,でごわす,achús,achús,ATCHOUM,ATCHOUM,schneuf,ett-CCIÙ,임돠,No,,ant00,0000
Antonio,,Anteater,Jock,Male,October 20,honk,big star shirt,bat umbrella,subtle,striking,aqua,Cabana,playful,retro,picnic table; claw-foot tub; clothesline pole; beach chair; life ring; refrigerator; lawn chair; red boom box; tea set;,K.K. Faire,tropical vista,tropical floor,Yes,マコト,Antonio,Antonio,Siggi,Antonio,퍼머거,ホントに,fufuf,fufuf,pouet,pouet,schlürrrf,honk,진짜로,No,,ant01,0001
Pango,,Anteater,Peppy,Female,November 9,snooooof,subdued print,picnic umbrella,gaudy,cool,orange,Classic,dignified,trendy,ranch table; classic bookcase; ranch couch; exotic screen; mega bowtoid; phonograph; biwa lute; classic clock; lady palm;,K.K. Casbah,lattice wall,exotic rug,No,パトラ,Aspidora,Mathilda,Mathilda,Carlotta,패트라,だっしー,narices,snuf-snuf,pouuuuuf,pouuuuuf,schnieef,snuuf,라지요,No,,ant02,0002
Anabelle,,Anteater,Peppy,Female,February 16,snorty,tropical shirt,mint umbrella,cute,strange,green,Cabana,dignified,trendy,cabana bed; green dresser; cabana screen; exotic bench; cabana vanity; phonograph; corn plant; shower; caladium;,Aloha K.K.,floral wall,diner tile,No,あるみ,Anabel,Anabelle,Annabell,Annalisa,아롱이,マジでー,esnoink,esnoink,grognon,grognon,puuust,snorty,정말,No,,ant03,0003
Teddy,,Bear,Jock,Male,September 26,grooof,club shirt,paper parasol,fresh,strange,black,Modern,dignified,retro,ebony piano; fireplace; retro stereo; writing desk; retro TV; Mama bear; stool; blue golf bag; writing chair;,Mr. K.K.,chic wall,plush carpet,Yes,たいへいた,Teddy,Teddy,Torsten,Teddy,병태,ですたい,gruuuf,gruuuf,grrrrrr,grrrrrr,gruff,gruf,입네다,No,,bea00,0004
Pinky,,Bear,Peppy,Female,September 9,wah,dazed shirt,candy umbrella,cute,gaudy,red,Exotic,dignified,trendy,classic bed; exotic screen; exotic chest; exotic bench; glass-top table; strumboid; red pom-pom hat; dingloid; goldfish; lamentoid;,Imperial K.K.,exquisite wall,bamboo flooring,Yes,タンタン,Violeta,Rosine,Pia,Pinky,링링,わぉ,cosita,terronillo,ouah,ouah,schätzchen,cubetto,와,No,,bea01,0005
Curt,,Bear,Cranky,Male,July 1,fuzzball,MVP shirt,paper parasol,subtle,strange,brown,Ranch,dignified,retro,ranch table; red sofa; wide-screen TV; A shirt; Roman helmet; mini bowtoid; BB shirt; weeping fig;,K.K. Jazz,manor wall,tartan rug,Yes,ガンテツ,Gorbaché,Curt,Kurt,Curt,뚝심,ウム,oye,oye,bouboule,bouboule,grumml,grrroan,음,No,,bea02,0006
Chow,,Bear,Cranky,Male,July 22,aiya,star shirt,ribbon umbrella,striking,cute,brown,Exotic,dignified,retro,exotic bed; exotic screen; sea bass; sea bass; croton; croakoid; exotic lamp; exotic end table; exotic chair;,K.K. Steppe,imperial wall,imperial tile,Yes,チャウヤン,Pando,Chulin,Chang,Chowchow,츄양,アルヨ,ándale-oso,ándale-oso,lala,lala,hiijaa,ehilà,그럼,No,,bea03,0007
Nate,,Bear,Lazy,Male,August 16,yawwwn,spring shirt,forest umbrella,funky,subtle,white,Cabana,dignified,trendy,hammock; refrigerator; tea set; bug zapper; white boom box; fan;,K.K. Lullaby,ivy wall,backyard lawn,Yes,バッカス,Nachete,Nathan,Nathan,Gianni,박하스,んだ,uuaaaah,uuaaaah,baaîîîllle,baaîîîllle,gäähn,yauuun,힘내,No,,bea05,0008
Groucho,,Bear,Cranky,Male,October 23,grumble,lite polka shirt,paper parasol,subtle,stylish,black,Modern,dignified,retro,modern bed; gold stereo; modern sofa; modern desk; blue golf bag; Baby bear; green golf bag;,K.K. Metal,shanty wall,plank flooring,Yes,クロー,Groucho,Ronchon,Ernst,Groucho,거무틱,ワォー,jorrr,jorrr,arsouille,grou-gnon,brummel,grum grum,어쩌라구,No,,bea06,0009
